variant,task,delta,metric
extratrees_scalars,"ChEMBL
target-cluster+scaffold+source",,mcc_mean
ecfp_absdiff_xgb,"ChEMBL
target-cluster",0.0,mcc_mean
rich_diff_scalars,"ChEMBL
target-cluster",0.055305015568848995,mcc_mean
rich_pair_only,"ChEMBL
target-cluster",,mcc_mean
rich_scalars_only,"ChEMBL
target-cluster",0.07606672002780529,mcc_mean
extratrees_scalars,"ChEMBL
target-cluster",,mcc_mean
ecfp_absdiff_xgb,"ChEMBL
temporal",0.0,mcc_mean
rich_diff_scalars,"ChEMBL
temporal",0.130470770961634,mcc_mean
rich_pair_only,"ChEMBL
temporal",,mcc_mean
rich_scalars_only,"ChEMBL
temporal",0.15941392327439421,mcc_mean
extratrees_scalars,"ChEMBL
temporal",,mcc_mean
ecfp_absdiff_xgb,"ChEMBL
temporal+source",0.0,mcc_mean
rich_diff_scalars,"ChEMBL
temporal+source",0.1049892845573423,mcc_mean
rich_pair_only,"ChEMBL
temporal+source",,mcc_mean
rich_scalars_only,"ChEMBL
temporal+source",0.12798607648058,mcc_mean
extratrees_scalars,"ChEMBL
temporal+source",,mcc_mean
ecfp_absdiff_xgb,"LoHi
LoHi ligand",0.0,mcc_mean
rich_diff_scalars,"LoHi
LoHi ligand",0.047640655644664645,mcc_mean
rich_pair_only,"LoHi
LoHi ligand",,mcc_mean
rich_scalars_only,"LoHi
LoHi ligand",0.0450845857488526,mcc_mean
extratrees_scalars,"LoHi
LoHi ligand",,mcc_mean
ecfp_absdiff_xgb,"LoHi
LoHi pair",0.0,mcc_mean
rich_diff_scalars,"LoHi
LoHi pair",0.0183419183377068,mcc_mean
rich_pair_only,"LoHi
LoHi pair",,mcc_mean
rich_scalars_only,"LoHi
LoHi pair",0.016068571852461105,mcc_mean
extratrees_scalars,"LoHi
LoHi pair",,mcc_mean
ecfp_absdiff_xgb,"MoleculeACE
target-cluster+scaffold",0.0,mcc_mean
rich_diff_scalars,"MoleculeACE
target-cluster+scaffold",0.039249695876892296,mcc_mean
rich_pair_only,"MoleculeACE
target-cluster+scaffold",,mcc_mean
rich_scalars_only,"MoleculeACE
target-cluster+scaffold",0.013385055038235491,mcc_mean
extratrees_scalars,"MoleculeACE
target-cluster+scaffold",,mcc_mean
ecfp_absdiff_xgb,"MoleculeACE
target-cluster",0.0,mcc_mean
rich_diff_scalars,"MoleculeACE
target-cluster",0.03973464197054109,mcc_mean
rich_pair_only,"MoleculeACE
target-cluster",,mcc_mean
rich_scalars_only,"MoleculeACE
target-cluster",0.010725188795593102,mcc_mean
extratrees_scalars,"MoleculeACE
target-cluster",,mcc_mean
ecfp_absdiff_xgb,"Noise
all pairs",0.0,mcc_mean
rich_diff_scalars,"Noise
all pairs",0.07093718023299646,mcc_mean
rich_pair_only,"Noise
all pairs",,mcc_mean
rich_scalars_only,"Noise
all pairs",0.07448834406624681,mcc_mean
extratrees_scalars,"Noise
all pairs",,mcc_mean
ecfp_absdiff_xgb,"Noise
exact relations only",0.0,mcc_mean
rich_diff_scalars,"Noise
exact relations only",0.06808615682238131,mcc_mean
rich_pair_only,"Noise
exact relations only",,mcc_mean
rich_scalars_only,"Noise
exact relations only",0.060065753204999406,mcc_mean
extratrees_scalars,"Noise
exact relations only",,mcc_mean
ecfp_absdiff_xgb,"Noise
high margin",0.0,mcc_mean
rich_diff_scalars,"Noise
high margin",0.046609971225436794,mcc_mean
rich_pair_only,"Noise
high margin",,mcc_mean
rich_scalars_only,"Noise
high margin",0.06763152492622765,mcc_mean
extratrees_scalars,"Noise
high margin",,mcc_mean
ecfp_absdiff_xgb,"Noise
high similarity",0.0,mcc_mean
rich_diff_scalars,"Noise
high similarity",0.061307693039192104,mcc_mean
rich_pair_only,"Noise
high similarity",,mcc_mean
rich_scalars_only,"Noise
high similarity",0.05836740366366851,mcc_mean
extratrees_scalars,"Noise
high similarity",,mcc_mean
ecfp_absdiff_xgb,"Noise
multi source",0.0,mcc_mean
rich_diff_scalars,"Noise
multi source",0.07172153641663111,mcc_mean
rich_pair_only,"Noise
multi source",,mcc_mean
rich_scalars_only,"Noise
multi source",0.06819347688911906,mcc_mean
extratrees_scalars,"Noise
multi source",,mcc_mean
ecfp_absdiff_xgb,"P0-P1
BDB->ChEMBL lig.",0.0,mcc_mean
rich_diff_scalars,"P0-P1
BDB->ChEMBL lig.",0.11505164027126868,mcc_mean
rich_pair_only,"P0-P1
BDB->ChEMBL lig.",,mcc_mean
rich_scalars_only,"P0-P1
BDB->ChEMBL lig.",0.12147775188095519,mcc_mean
extratrees_scalars,"P0-P1
BDB->ChEMBL lig.",0.1302626688563481,mcc_mean
ecfp_absdiff_xgb,"P0-P1
BDB->ChEMBL target",0.0,mcc_mean
rich_diff_scalars,"P0-P1
BDB->ChEMBL target",0.1003322942451674,mcc_mean
rich_pair_only,"P0-P1
BDB->ChEMBL target",,mcc_mean
rich_scalars_only,"P0-P1
BDB->ChEMBL target",0.0893162142126116,mcc_mean
extratrees_scalars,"P0-P1
BDB->ChEMBL target",0.1935132973868478,mcc_mean
ecfp_absdiff_xgb,"P0-P1
BDB->ChEMBL pair",0.0,mcc_mean
rich_diff_scalars,"P0-P1
BDB->ChEMBL pair",0.1293400338754862,mcc_mean
rich_pair_only,"P0-P1
BDB->ChEMBL pair",,mcc_mean
rich_scalars_only,"P0-P1
BDB->ChEMBL pair",0.12093041962813861,mcc_mean
extratrees_scalars,"P0-P1
BDB->ChEMBL pair",0.12515306640008642,mcc_mean
ecfp_absdiff_xgb,"P0-P1
BDB->ChEMBL scaf.",0.0,mcc_mean
rich_diff_scalars,"P0-P1
BDB->ChEMBL scaf.",0.1268524451208751,mcc_mean
rich_pair_only,"P0-P1
BDB->ChEMBL scaf.",,mcc_mean
rich_scalars_only,"P0-P1
BDB->ChEMBL scaf.",0.1186594189118825,mcc_mean
extratrees_scalars,"P0-P1
BDB->ChEMBL scaf.",0.11424336146859801,mcc_mean
ecfp_absdiff_xgb,"P0-P1
future>2005",0.0,mcc_mean
rich_diff_scalars,"P0-P1
future>2005",0.113050602583977,mcc_mean
rich_pair_only,"P0-P1
future>2005",,mcc_mean
rich_scalars_only,"P0-P1
future>2005",0.11443060360009019,mcc_mean
extratrees_scalars,"P0-P1
future>2005",0.127911882005211,mcc_mean
ecfp_absdiff_xgb,"P0-P1
future>2005 scaf.",0.0,mcc_mean
rich_diff_scalars,"P0-P1
future>2005 scaf.",0.1641970859554664,mcc_mean
rich_pair_only,"P0-P1
future>2005 scaf.",,mcc_mean
rich_scalars_only,"P0-P1
future>2005 scaf.",0.1368589141213489,mcc_mean
extratrees_scalars,"P0-P1
future>2005 scaf.",0.15630726342168538,mcc_mean
ecfp_absdiff_xgb,"P0-P1
future>2010",0.0,mcc_mean
rich_diff_scalars,"P0-P1
future>2010",0.0832468826808615,mcc_mean
rich_pair_only,"P0-P1
future>2010",,mcc_mean
rich_scalars_only,"P0-P1
future>2010",0.10202734549597409,mcc_mean
extratrees_scalars,"P0-P1
future>2010",0.0893498833765655,mcc_mean
ecfp_absdiff_xgb,"P0-P1
future>2010 scaf.",0.0,mcc_mean
rich_diff_scalars,"P0-P1
future>2010 scaf.",0.1065455404597061,mcc_mean
rich_pair_only,"P0-P1
future>2010 scaf.",,mcc_mean
rich_scalars_only,"P0-P1
future>2010 scaf.",0.1094583963143768,mcc_mean
extratrees_scalars,"P0-P1
future>2010 scaf.",0.10977682707854451,mcc_mean
ecfp_absdiff_xgb,"P0-P1
future>2015",0.0,mcc_mean
rich_diff_scalars,"P0-P1
future>2015",0.2173555499661266,mcc_mean
rich_pair_only,"P0-P1
future>2015",,mcc_mean
rich_scalars_only,"P0-P1
future>2015",0.22198825093111121,mcc_mean
extratrees_scalars,"P0-P1
future>2015",0.0451196042751693,mcc_mean
ecfp_absdiff_xgb,"P0-P1
future>2015 scaf.",0.0,mcc_mean
rich_diff_scalars,"P0-P1
future>2015 scaf.",0.2173555499661266,mcc_mean
rich_pair_only,"P0-P1
future>2015 scaf.",,mcc_mean
rich_scalars_only,"P0-P1
future>2015 scaf.",0.22198825093111121,mcc_mean
extratrees_scalars,"P0-P1
future>2015 scaf.",0.0451196042751693,mcc_mean
ecfp_absdiff_xgb,"P0-P1
ChEMBL->BDB lig.",0.0,mcc_mean
rich_diff_scalars,"P0-P1
ChEMBL->BDB lig.",0.06325994154884279,mcc_mean
rich_pair_only,"P0-P1
ChEMBL->BDB lig.",,mcc_mean
rich_scalars_only,"P0-P1
ChEMBL->BDB lig.",0.0756781104798559,mcc_mean
extratrees_scalars,"P0-P1
ChEMBL->BDB lig.",0.0783623787224837,mcc_mean
ecfp_absdiff_xgb,"P0-P1
ChEMBL->BDB target",0.0,mcc_mean
rich_diff_scalars,"P0-P1
ChEMBL->BDB target",0.08397771620685988,mcc_mean
rich_pair_only,"P0-P1
ChEMBL->BDB target",,mcc_mean
rich_scalars_only,"P0-P1
ChEMBL->BDB target",0.0938205263111611,mcc_mean
extratrees_scalars,"P0-P1
ChEMBL->BDB target",0.11555501054955071,mcc_mean
ecfp_absdiff_xgb,"P0-P1
ChEMBL->BDB pair",0.0,mcc_mean
rich_diff_scalars,"P0-P1
ChEMBL->BDB pair",0.062199321817214596,mcc_mean
rich_pair_only,"P0-P1
ChEMBL->BDB pair",,mcc_mean
rich_scalars_only,"P0-P1
ChEMBL->BDB pair",0.0871167765794722,mcc_mean
extratrees_scalars,"P0-P1
ChEMBL->BDB pair",0.0647161111716272,mcc_mean
ecfp_absdiff_xgb,"P0-P1
ChEMBL->BDB scaf.",0.0,mcc_mean
rich_diff_scalars,"P0-P1
ChEMBL->BDB scaf.",0.0753770529986855,mcc_mean
rich_pair_only,"P0-P1
ChEMBL->BDB scaf.",,mcc_mean
rich_scalars_only,"P0-P1
ChEMBL->BDB scaf.",0.0659239799848559,mcc_mean
extratrees_scalars,"P0-P1
ChEMBL->BDB scaf.",0.040853790185449906,mcc_mean
